jawa,indonesia
aba-aba (ta),"aba-aba, perintah"
abab (ta),hawa mulut
abang (ts),merah
abar (tk),menguap (zat cair)
ables (tk),melesak
abrit ; abrit (ts),merah
abuh (ts),bengkak
abyor (ts),bertebaran memenuhi (mis. bintang bertebaran memenuhi langit)
acung (tk),menunjuk ke atas/ unjuk jari
ada-ada (ta),inisiatif
adang (tk),menanak nasi
adas (ta),nama tanaman
adhang (tk),menunggu di tempat yang akan dilewati
adhem (ts),dingin
adhep (tk),hadap
adhi (ta),adik
adi (ts),bernilai tinggi; mempunyai kelebihan
adil (ts),adil
adoh (tkr),jauh
adol (tk),menjual
adu (tk),adu
adus (tk),mandi
agama (ta),besar; agung
agem (tk),pakai
ageman (ta),pakaian
ageng (ts),besar
agni (ta),api
agul-agul (ta),andalan; jagoan
agung (ta),api
aja (tpw),jangan
ajag (ta),anjing hutan
ajak (ts),ajak
ajang (ta),wadah
ajar (tk),"ajar, belajar"
ajeg (tkr),tetap
ajeng (tsb),akan
aji (ta),nilai; harga
ajur (ts),hancur
akas (tkr),alon
akas (ts),"perai, keras (untuk nasi)"
ala (ts),buruk
alangan (ta),halangan
alas (ta),hutan
alem (tk),puji
aleman (ts),manja
alesan (ta),alasan
aling-aling (tk),bersembunyi di balik
alis (ta),alis
alok (tk),berkata
alu (ta),antan
alum (ts),layu
alun-alun (ta),lapangan di tengah kota
alus (ts),halus
aluwung (tpb),lebih baik
ama (ta),hama
aman (ts),aman
amarga (tpy),karena
amargi; amargi (tpy),karena
amba (ts),lebar/luas
ambah (tk),jejak/jelajah/datangi
ambal (tk),ulang
ambar (tk),tersebar (untuk bau harum)
ambeg (ts),berwatak
amb�n (ta),balai-balai
amb�r (tkr),meluap (air)
ambet; ambet (ta),bau
amblas (tk),lenyap seketika
ambrol (tk),runtuh
ambruk (tk),tumbang/roboh
ambu (ta),bau
ambung (tk),cium
ambus (tk),endus
ambyuk (tk),menjatuhkan diri
ambyur (tk),mencemplungkan diri ke dalam air
am�k (tk),mencari
amem (ts),melempem
amem (ts),sunyi
amis (ts),anyir
ampak-ampak (ta),kepulan debu
ampas (ta),ampas
ampek (tkr),sulit bernafas; sesak (untuk dada)
ampil; ampil (tk),pinjam
amping-amping (tk),berlindung di balik sesuatu
ampo (ta),nama jajanan terbuat dari tanah jenis tertentu
amrih (tpy),"agar, supaya"
anak (ta),anak
ancang-ancang (ta),"persiapan, mengambil kuda-kuda"
ancas (ta),tujuan
ancer-ancer (ta),prakiraan; ancar-ancar
ancik (tk),menginjak
ancur (ta),air raksa
anda (ta),tangga
andaka (ta),banteng
andhang (ta),tangga kayu berkaki empat
andhap (ta),bagian bawah/rendah
andheng-andheng (ta),tahi lalat
andhong (ta),sejenis kereta kuda
andika (tg),anda
andum (tk),berbagi
"an�h (ts, tkr)",aneh
an�m (ts),muda
angen-angen (ta),pemikiran/ingatan
anget (ts),hangat
angga (ta),tubuh
anggak (ts),sombong
anggara (tg),selasa
"anggarbini (tk, ts)",hamil
anggep (tk),anggap
angger (tsb),asalkan
angger-angger (ta),peraturan
anggon (tk),tempat
anggur (ta),anggur
angin (ta),angin
angin-angin (tk),mencari udara
angkah (ta),maksud
angkara (ta),angkara
angker (ts),angker
angler (tkr),nyenyak
angluh (tkr),dengan penuh rasa tidak berdaya mengahadapi situasi yang ada
angon (tk),mengembala
angop (tk),menguap
angsal (tk),dapat
angsl� (ta),nama minuman
angslup (tk),tenggelam
angur (tsb),masih lebih baik
angus (ta),angus
anjlok (tk),turun tiba-tiba
anjok (tpr),tiba di
